"Number of Employed Persons by Major Occupation Group (2012 PSOC Code): April 2016 to March 2026"

"Year";"Month";"Total";"Managers";"Professionals";"Technicians and Associate Professionals";"Clerical Support Workers";"Service and Sales Workers";"Skilled Agricultural Forestry and Fishery Workers";"Craft and Related Trades Workers";"Plant and Machine Operators and Assemblers";"Elementary Occupations";"Armed Forces Occupations"
"2016";"Annual";41100.856;6998.158;2065.146;1439.623;2207.472;6303.266;5244.336;3245.880;2408.147;11096.142;92.685
"2017";"Annual";40333.992;6489.758;2149.266;1533.462;2283.399;6069.083;5426.160;3197.601;2552.451;10537.818;94.995
"2018";"Annual";41156.535;6588.168;2242.632;1662.510;2389.227;6170.964;5096.198;3230.373;2623.167;11059.533;93.763
"2019";"Annual";41938.013;4774.961;2362.427;1768.320;2615.732;7759.877;4815.374;3357.464;3294.042;11103.865;85.954
"2020";"Annual";39377.842;3556.517;2225.566;1483.530;2467.164;7594.122;5259.462;2828.499;3124.920;10737.873;100.189
"2021";"Annual";43988.293;3297.107;2443.618;1668.010;2852.804;9038.645;5455.198;3104.228;3281.341;12758.235;89.107
"2022";"Annual";46886.636;2205.953;2538.271;1796.365;3347.814;10746.590;5568.712;3425.858;3657.051;13512.509;87.513
"2023";"Annual";48177.763;1754.624;2695.515;1940.320;3484.174;11205.946;5647.487;3350.959;3933.906;14055.062;109.770
"2024";"Annual";48841.456;1678.303;2771.278;1991.202;3850.582;11882.667;5422.282;3488.663;4282.006;13380.033;94.441
"2025";"Annual";49013.170;1800.282;2842.917;2048.793;3976.738;11747.436;5437.115;3498.581;4222.159;13335.611;103.538
"2026";"Annual";.;.;.;.;.;.;.;.;.;.;.
